input,label,initial_nl,numbering_system,command_type,complexity,tooth_numbers,tooth_count,command_count,has_surface,has_numerical_value,category,model_name,generation_method,refinement_model,refinement_applied,number_validation
"4 is 2 2 3, 5 buccal is 3 2 3, 6 buccal is 4 5 5, 7 is 3 3 3, 8 is 2 2 3, 9 is 2 3 3, 10 buccal is 3 3 3, 11 is 5 5 4, 12 is 3 3 3, 13 is 2 2 2, then 14 and 15 are all 3 3 3.","number 4, probing, 2 2 3; number 5, buccal, probing, 3 2 3; number 6, buccal, probing, 4 5 5; number 7, pocket depth, 3 3 3; number 8, probing, 2 2 3; number 9, probing, 2 3 3; number 10, buccal, probing, 3 3 3; number 11, probing, 5 5 4; number 12, probing, 3 3 3; number 13, probing, 2 2 2; number 14, probing, 3 3 3; number 15, probing, 3 3 3","number 4 probing 2 2 3, number 5 buccal probing 3 2 3, number 6 buccal probing 4 5 5, number 7 pocket depth 3 3 3, number 8 probing 2 2 3, number 9 probing 2 3 3, number 10 buccal probing 3 3 3, number 11 probing 5 5 4, number 12 probing 3 3 3, number 13 probing 2 2 2, number 14 probing 3 3 3, number 15 probing 3 3 3",UNS,multiple,high,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",12,12,true,true,probing,groq/compound-mini,openrouter_llm,mistralai/mistral-small-24b-instruct-2501:free,true,simple_check
"6 and 7 lingual are 3 3 3, then 8 is 3 3 3, 9 is 3 2 3, 10 is 5 5 5, 11 is 5 5 4, 12 is 3 3 3, 13 lingual is 3 2 3, 14 is 5 4 5, 15 is 2 3 2, 16 lingual is 3 3 3, 17 is 2 2 2, 18 is 3 3 3, 19 is 3 3 3, 20 is 4 4 5, 21 is 3 3 3, 22 through 23 are 3 3 3, 24 is 2 3 3, 25 and 26 are 3 3 3, 27 buccal is 3 3 3, 28 is 3 3 3. 6 buccal has bleeding 1 middle, 1 distal, 6 lingual has bleeding 1 middle, 1 distal, 7 buccal has suppuration 1 middle, 1 distal, 7 lingual has suppuration 1 middle, 1 distal, 8 is impacted, 9 buccal has bleeding 1 middle, 1 distal, 9 lingual has bleeding 1 middle, 1 distal, 14 buccal has suppuration 1 middle, 1 distal, 14 lingual has suppuration 1 middle, 1 distal, 16 buccal has bleeding 1 middle, 1 distal, 16 lingual has bleeding 1 middle, 1 distal, 17 buccal has bleeding 1 middle, 1 distal, 17 lingual has bleeding 1 middle, 1 distal, 17 buccal has suppuration 1 middle, 1 distal, 17 lingual has suppuration 1 middle, 1 distal, 18 buccal has bleeding 1 middle, 1 distal, 18 lingual has bleeding 1 middle, 1 distal, 19 buccal has suppuration 1 middle, 1 distal, 19 lingual has suppuration 1 middle, 1 distal, 24 buccal has bleeding 1 middle, 1 distal, 24 lingual has bleeding 1 middle, 1 distal, 26 buccal has suppuration 1 middle, 1 distal, 26 lingual has suppuration 1 middle, 1 distal, 28 buccal has bleeding 1 middle, 1 distal, 28 lingual has bleeding 1 middle, 1 distal. 9 has mobility 3, 10 has mobility 2, 11 has mobility 1, 12 has mobility 3, 15 has mobility 2, 16 has mobility 2, 17 has mobility 2, 20 has mobility 3, 24 has mobility 3, 12 has furcation 1, 25 has furcation 2, 6 and 8 have a fixture.","number 6, lingual, probing, 3 3 3; number 7, lingual, probing, 3 3 3; number 8, pocket depth, 3 3 3; number 9, probing, 3 2 3; number 10, pocket depth, 5 5 5; number 11, pocket depth, 5 5 4; number 12, pocket depth, 3 3 3; number 13, lingual, pocket depth, 3 2 3; number 14, probing, 5 4 5; number 15, probing, 2 3 2; number 16, lingual, probing, 3 3 3; number 17, probing, 2 2 2; number 18, pocket depth, 3 3 3; number 19, probing, 3 3 3; number 20, probing, 4 4 5; number 21, pocket depth, 3 3 3; number 22, probing, 3 3 3; number 23, probing, 3 3 3; number 24, pocket depth, 2 3 3; number 25, pocket depth, 3 3 3; number 26, pocket depth, 3 3 3; number 27, buccal, pocket depth, 3 3 3; number 28, pocket depth, 3 3 3; number 6, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 6, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 7, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 7, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 8, impacted; number 9, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 9, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 14, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 14, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 16, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 16, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 17, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 17, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 17, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 17, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 18, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 18, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 19, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 19, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 24, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 24, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 26, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 26, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 28, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 28, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 9, mobility, 3; number 10, mobility, 2; number 11, mobility, 1; number 12, mobility, 3; number 15, mobility, 2; number 16, mobility, 2; number 17, mobility, 2; number 20, mobility, 3; number 24, mobility, 3; number 12, furcation, 1; number 25, furcation, 2; number 6, number 8, fixture","number 6 lingual probing 3 3 3, number 7 lingual probing 3 3 3, number 8 pocket depth 3 3 3, number 9 probing 3 2 3, number 10 pocket depth 5 5 5, number 11 pocket depth 5 5 4, number 12 pocket depth 3 3 3, number 13 lingual pocket depth 3 2 3, number 14 probing 5 4 5, number 15 probing 2 3 2, number 16 lingual probing 3 3 3, number 17 probing 2 2 2, number 18 pocket depth 3 3 3, number 19 probing 3 3 3, number 20 probing 4 4 5, number 21 pocket depth 3 3 3, number 22 probing 3 3 3, number 23 probing 3 3 3, number 24 pocket depth 2 3 3, number 25 pocket depth 3 3 3, number 26 pocket depth 3 3 3, number 27 buccal pocket depth 3 3 3, number 28 pocket depth 3 3 3, number 6 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 6 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 7 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 7 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 8 impacted, number 9 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 9 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 14 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 14 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 16 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 16 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 17 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 17 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 17 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 17 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 18 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 18 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 19 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 19 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 24 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 24 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 26 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 26 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 28 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 28 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 9 mobility 3, number 10 mobility 2, number 11 mobility 1, number 12 mobility 3, number 15 mobility 2, number 16 mobility 2, number 17 mobility 2, number 20 mobility 3, number 24 mobility 3, number 12 furcation 1, number 25 furcation 2, number 6 number 8 fixture",UNS,multiple,high,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 6, 6, 7, 7, 8, 9, 9, 14, 14, 16, 16, 17, 17, 17, 17, 18, 18, 19, 19, 24, 24, 26, 26, 28, 28, 9, 10, 11, 12, 15, 16, 17, 20, 24, 12, 25, 6, 8",23,60,true,true,probing,google/gemini-2.0-flash-exp:free,openrouter_llm,google/gemma-3-12b-it:free,true,simple_check
"Then we have teeth numbered 3, 4, 5, 7, 8, 11, 13, 14, 19, 20, 21, and 24 all with pocket depths of 3, 3, 3, then jump to teeth 6 and 16 with lingual probing depths of 3, 2, 2, all except teeth 9, 10, and 17 which have probing depths of 3, 3, 2, and 3, 3, 3 respectively, then we have teeth 1, 2, and 25 with no data, but teeth 22 has probing depths of 4, 4, 5, and teeth 23, 15, 18 have probing depths of 3, 3, 3, and teeth 12, 26 have probing depths of 3, 3, 3, and 3, 3, 2 respectively","number 3, lingual, pocket depth, 3 3 3; number 4, probing, 3 3 3; number 5, probing, 3 3 3; number 6, lingual, probing, 3 2 2; number 7, pocket depth, 3 3 3; number 8, pocket depth, 3 3 3; number 9, probing, 3 3 2; number 10, probing, 3 3 2; number 11, pocket depth, 3 3 3; number 12, probing, 3 3 3; number 13, buccal, pocket depth, 3 3 3; number 14, lingual, pocket depth, 3 3 3; number 15, buccal, probing, 3 3 3; number 16, probing, 3 2 2; number 17, pocket depth, 3 3 2; number 18, lingual, probing, 3 3 3; number 19, lingual, pocket depth, 3 3 3; number 20, pocket depth, 3 3 3; number 21, lingual, pocket depth, 3 3 3; number 22, probing, 4 4 5; number 23, buccal, probing, 3 3 3; number 24, buccal, pocket depth, 3 3 3; number 25, probing, 3 3 3; number 26, pocket depth, 3 3 2","number 3 lingual pocket depth 3 3 3, number 4 probing 3 3 3, number 5 probing 3 3 3, number 6 lingual probing 3 2 2, number 7 pocket depth 3 3 3, number 8 pocket depth 3 3 3, number 9 probing 3 3 2, number 10 probing 3 3 2, number 11 pocket depth 3 3 3, number 12 probing 3 3 3, number 13 buccal pocket depth 3 3 3, number 14 lingual pocket depth 3 3 3, number 15 buccal probing 3 3 3, number 16 probing 3 2 2, number 17 pocket depth 3 3 2, number 18 lingual probing 3 3 3, number 19 lingual pocket depth 3 3 3, number 20 pocket depth 3 3 3, number 21 lingual pocket depth 3 3 3, number 22 probing 4 4 5, number 23 buccal probing 3 3 3, number 24 buccal pocket depth 3 3 3, number 25 probing 3 3 3, number 26 pocket depth 3 3 2",UNS,multiple,high,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",24,24,true,true,probing,moonshotai/kimi-k2-instruct,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"number 1 pocket depth is 4 4 3, number 2 probing is 4 4 3, number 3 pocket depth is 4 4 3, number 4 probing is 4 4 3, then number 5 probing is 4 4 3, number 6 probing is 4 4 3, number 7 pocket depth is 4 4 3, number 8 probing is 4 4 3, number 9 pocket depth is 4 4 3, number 10 probing is 4 4 3, except number 11 probing is 4 4 3, number 12 probing is 4 4 3, number 13 pocket depth is 4 4 3, number 14 pocket depth is 4 4 3, number 15 probing is 4 4 3, number 16 probing is 4 4 3, number 17 probing is 4 4 3, number 18 probing is 7 6 6, number 19 pocket depth is 4 4 3, number 20 probing is 4 4 3, number 21 pocket depth is 4 4 3, number 22 has bleeding on buccal mesial, middle, and distal, and also lingual mesial, middle, and distal, number 23 probing is 4 4 3, number 24 pocket depth is 4 4 3, number 25 pocket depth is 4 4 3, number 26 has bleeding on buccal mesial, middle, and distal, and also lingual mesial, middle, and distal, number 27 probing is 4 4 3, number 28 pocket depth is 4 4 3, number 29 pocket depth is 4 4 3, number 30 probing is 6 7 6, number 31 probing is 4 4 3, number 32 pocket depth is 4 4 3","number 1, pocket depth, 4 4 3; number 2, probing, 4 4 3; number 3, pocket depth, 4 4 3; number 4, probing, 4 4 3; number 5, probing, 4 4 3; number 6, probing, 4 4 3; number 7, pocket depth, 4 4 3; number 8, probing, 4 4 3; number 9, pocket depth, 4 4 3; number 10, probing, 4 4 3; number 11, probing, 4 4 3; number 12, probing, 4 4 3; number 13, pocket depth, 4 4 3; number 14, pocket depth, 4 4 3; number 15, probing, 4 4 3; number 16, probing, 4 4 3; number 17, probing, 4 4 3; number 18, probing, 7 6 6; number 19, pocket depth, 4 4 3; number 20, probing, 4 4 3; number 21, pocket depth, 4 4 3; number 22, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 22, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 23, probing, 4 4 3; number 24, pocket depth, 4 4 3; number 25, pocket depth, 4 4 3; number 26, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 26, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 27, probing, 4 4 3; number 28, pocket depth, 4 4 3; number 29, pocket depth, 4 4 3; number 30, probing, 6 7 6; number 31, probing, 4 4 3; number 32, pocket depth, 4 4 3","number 1 pocket depth 4 4 3, number 2 probing 4 4 3, number 3 pocket depth 4 4 3, number 4 probing 4 4 3, number 5 probing 4 4 3, number 6 probing 4 4 3, number 7 pocket depth 4 4 3, number 8 probing 4 4 3, number 9 pocket depth 4 4 3, number 10 probing 4 4 3, number 11 probing 4 4 3, number 12 probing 4 4 3, number 13 pocket depth 4 4 3, number 14 pocket depth 4 4 3, number 15 probing 4 4 3, number 16 probing 4 4 3, number 17 probing 4 4 3, number 18 probing 7 6 6, number 19 pocket depth 4 4 3, number 20 probing 4 4 3, number 21 pocket depth 4 4 3, number 22 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 22 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 23 probing 4 4 3, number 24 pocket depth 4 4 3, number 25 pocket depth 4 4 3, number 26 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 26 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 27 probing 4 4 3, number 28 pocket depth 4 4 3, number 29 pocket depth 4 4 3, number 30 probing 6 7 6, number 31 probing 4 4 3, number 32 pocket depth 4 4 3",UNS,multiple,high,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 22, 23, 24, 25, 26, 26, 27, 28, 29, 30, 31, 32",32,34,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.1-8b-instant,true,simple_check
"number 1 probing is 3 2 2, number 2 pocket depth is 3 2 2, number 3 pocket depth is 3 2 2, number 4 pocket depth is 7 6 4, number 5 probing is 3 2 2, number 6 pocket depth is 3 2 2, number 7 pocket depth is 3 2 2, number 8 probing is 7 6 4, number 9 probing is 3 2 2, number 10 probing is 3 2 2, number 11 probing is 3 2 2, number 12 probing is 7 6 4, number 13 pocket depth is 3 2 2, number 14 probing is 3 2 2, number 15 pocket depth is 3 2 2, number 16 probing is 3 2 2, number 17 probing is 3 2 2, number 18 pocket depth is 3 2 2, number 19 pocket depth is 3 2 2, number 20 probing is 3 2 2, number 21 pocket depth is 3 2 2, number 22 pocket depth is 3 2 2, number 23 pocket depth is 3 2 2, number 24 probing is 3 2 2, number 25 probing is 3 2 2, number 26 pocket depth is 3 2 2, number 27 probing is 3 2 2, number 28 pocket depth is 3 2 2, number 29 probing is 3 2 2, number 30 probing is 3 2 2, number 31 pocket depth is 7 6 4, number 32 pocket depth is 3 2 2","number 1, probing, 3 2 2; number 2, pocket depth, 3 2 2; number 3, pocket depth, 3 2 2; number 4, pocket depth, 7 6 4; number 5, probing, 3 2 2; number 6, pocket depth, 3 2 2; number 7, pocket depth, 3 2 2; number 8, probing, 7 6 4; number 9, probing, 3 2 2; number 10, probing, 3 2 2; number 11, probing, 3 2 2; number 12, probing, 7 6 4; number 13, pocket depth, 3 2 2; number 14, probing, 3 2 2; number 15, pocket depth, 3 2 2; number 16, probing, 3 2 2; number 17, probing, 3 2 2; number 18, pocket depth, 3 2 2; number 19, pocket depth, 3 2 2; number 20, probing, 3 2 2; number 21, pocket depth, 3 2 2; number 22, pocket depth, 3 2 2; number 23, pocket depth, 3 2 2; number 24, probing, 3 2 2; number 25, probing, 3 2 2; number 26, pocket depth, 3 2 2; number 27, probing, 3 2 2; number 28, pocket depth, 3 2 2; number 29, probing, 3 2 2; number 30, probing, 3 2 2; number 31, pocket depth, 7 6 4; number 32, pocket depth, 3 2 2","number 1 probing 3 2 2, number 2 pocket depth 3 2 2, number 3 pocket depth 3 2 2, number 4 pocket depth 7 6 4, number 5 probing 3 2 2, number 6 pocket depth 3 2 2, number 7 pocket depth 3 2 2, number 8 probing 7 6 4, number 9 probing 3 2 2, number 10 probing 3 2 2, number 11 probing 3 2 2, number 12 probing 7 6 4, number 13 pocket depth 3 2 2, number 14 probing 3 2 2, number 15 pocket depth 3 2 2, number 16 probing 3 2 2, number 17 probing 3 2 2, number 18 pocket depth 3 2 2, number 19 pocket depth 3 2 2, number 20 probing 3 2 2, number 21 pocket depth 3 2 2, number 22 pocket depth 3 2 2, number 23 pocket depth 3 2 2, number 24 probing 3 2 2, number 25 probing 3 2 2, number 26 pocket depth 3 2 2, number 27 probing 3 2 2, number 28 pocket depth 3 2 2, number 29 probing 3 2 2, number 30 probing 3 2 2, number 31 pocket depth 7 6 4, number 32 pocket depth 3 2 2",UNS,multiple,high,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",32,32,false,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.1-8b-instant,true,simple_check
"Numbers 22 and 24 have crowns, then jump to 10 and 15 with fixtures, all except 11 and 16 which have crowns, and finally 9 and 12 are implants","number 22, number 24, crown; number 10, number 15, fixture; number 11, number 16, crown; number 9, number 12, implant","number 22, number 24 crown, number 10, number 15 fixture, number 11, number 16 crown, number 9, number 12 implant",UNS,multiple,high,"22, 24, 10, 15, 11, 16, 9, 12",8,4,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,meta-llama/llama-4-maverick-17b-128e-instruct,true,simple_check
"All probing depths are 3, except 34, which is 5, 4, 4, then 40 is 2, 3, 3, and 44 is 2, 2, 3, all others are 3, except 47, which is 5, 5, 5, then 48 is 4, 4, 4, and 34, 47, 48 are noted","number 31, probing, 3 3 3; number 32, pocket depth, 3 3 3; number 33, probing, 3 3 3; number 34, probing, 5 4 4; number 35, probing, 3 3 3; number 36, buccal, probing, 3 3 3; number 37, buccal, probing, 3 3 3; number 38, probing, 3 3 3; number 39, probing, 3 3 3; number 40, pocket depth, 2 3 3; number 41, buccal, probing, 3 3 3; number 42, pocket depth, 3 3 3; number 43, buccal, pocket depth, 3 3 3; number 44, pocket depth, 2 2 3; number 45, pocket depth, 3 3 3; number 46, pocket depth, 3 3 3; number 47, buccal, pocket depth, 5 5 5; number 48, pocket depth, 4 4 4","number 31 probing 3 3 3, number 32 pocket depth 3 3 3, number 33 probing 3 3 3, number 34 probing 5 4 4, number 35 probing 3 3 3, number 36 buccal probing 3 3 3, number 37 buccal probing 3 3 3, number 38 probing 3 3 3, number 39 probing 3 3 3, number 40 pocket depth 2 3 3, number 41 buccal probing 3 3 3, number 42 pocket depth 3 3 3, number 43 buccal pocket depth 3 3 3, number 44 pocket depth 2 2 3, number 45 pocket depth 3 3 3, number 46 pocket depth 3 3 3, number 47 buccal pocket depth 5 5 5, number 48 pocket depth 4 4 4",FDI,multiple,high,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48",18,18,true,true,probing,moonshotai/kimi-k2-instruct,openrouter_llm,meta-llama/llama-4-scout-17b-16e-instruct,true,simple_check
"8 buccal has 3, 3, 3, 9 buccal pocket is 3, 3, 3, 10 pocket is 3, 3, 3, 11 is 3, 3, 3, 12 is 3, 3, 3, 13 pocket is 2, 2, 2, 14 is 3, 3, 3, 15 is 3, 2, 3, 16 pocket is 5, 5, 4, 17 is 3, 3, 3, 18 pocket is 3, 3, 3, 19 pocket is 4, 4, 5","number 8, buccal, probing, 3 3 3; number 9, buccal, pocket depth, 3 3 3; number 10, pocket depth, 3 3 3; number 11, probing, 3 3 3; number 12, probing, 3 3 3; number 13, pocket depth, 2 2 2; number 14, probing, 3 3 3; number 15, probing, 3 2 3; number 16, pocket depth, 5 5 4; number 17, probing, 3 3 3; number 18, pocket depth, 3 3 3; number 19, pocket depth, 4 4 5","number 8 buccal probing 3 3 3, number 9 buccal pocket depth 3 3 3, number 10 pocket depth 3 3 3, number 11 probing 3 3 3, number 12 probing 3 3 3, number 13 pocket depth 2 2 2, number 14 probing 3 3 3, number 15 probing 3 2 3, number 16 pocket depth 5 5 4, number 17 probing 3 3 3, number 18 pocket depth 3 3 3, number 19 pocket depth 4 4 5",UNS,multiple,high,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",12,12,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,meta-llama/llama-4-scout-17b-16e-instruct,true,simple_check
"11 has a pocket depth of 3 all around, 12 is the same, 13 too, 14 and 15 are lingual with the same depth, 16, 17, and 18 are standard pocket depths, 19 is the same, but 20 is a bit different on the lingual side, 21, 22, and 23 have standard pocket depths, 24 and 25 are probing depths, 26 is standard, 27 is a bit deeper on one side, 28 is standard, 29 is buccal, 30 is lingual probing, 31 is standard probing, and 32 and 33 have pocket depths of 3 and 4 respectively","number 11, pocket depth, 3 3 3; number 12, pocket depth, 3 3 3; number 13, pocket depth, 3 3 3; number 14, lingual, pocket depth, 3 3 3; number 15, lingual, pocket depth, 3 3 3; number 16, pocket depth, 3 3 3; number 17, pocket depth, 3 3 3; number 18, probing, 3 3 3; number 19, probing, 3 3 3; number 20, lingual, probing, 3 2 2; number 21, pocket depth, 3 3 3; number 22, pocket depth, 3 3 3; number 23, pocket depth, 3 3 3; number 24, probing, 3 3 3; number 25, probing, 2 2 3; number 26, probing, 3 3 3; number 27, probing, 2 3 3; number 28, pocket depth, 3 3 3; number 29, buccal, pocket depth, 3 3 3; number 30, lingual, probing, 3 3 3; number 31, probing, 3 3 3; number 32, pocket depth, 3 3 3; number 33, pocket depth, 4 4 4","number 11 pocket depth 3 3 3, number 12 pocket depth 3 3 3, number 13 pocket depth 3 3 3, number 14 lingual pocket depth 3 3 3, number 15 lingual pocket depth 3 3 3, number 16 pocket depth 3 3 3, number 17 pocket depth 3 3 3, number 18 probing 3 3 3, number 19 probing 3 3 3, number 20 lingual probing 3 2 2, number 21 pocket depth 3 3 3, number 22 pocket depth 3 3 3, number 23 pocket depth 3 3 3, number 24 probing 3 3 3, number 25 probing 2 2 3, number 26 probing 3 3 3, number 27 probing 2 3 3, number 28 pocket depth 3 3 3, number 29 buccal pocket depth 3 3 3, number 30 lingual probing 3 3 3, number 31 probing 3 3 3, number 32 pocket depth 3 3 3, number 33 pocket depth 4 4 4",FDI,multiple,high,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33",23,23,true,true,probing,qwen-3-235b-a22b-instruct-2507,openrouter_llm,llama-3.1-8b-instant,true,simple_check
"Implants on 15 and 18, fixtures on 26, 27, 23, 43, and 47, then crowns on 32, 42, and 47","number 15, number 18, implant; number 26, 27, fixture; number 43, number 47, fixture; number 23, number 27, fixture; number 42, number 47, crown; number 32, crown","number 15 implant, number 18 implant, number 26 fixture, number 27 fixture, number 43 fixture, number 47 fixture, number 23 fixture, number 27 fixture, number 42 crown, number 47 crown, number 32 crown",FDI,multiple,high,"15, 18, 26, 27, 43, 47, 23, 27, 42, 47, 32",9,6,false,true,restoration,openai/gpt-oss-120b,openrouter_llm,meta-llama/llama-4-maverick-17b-128e-instruct,true,simple_check
